customer_msg,msg_clean,brand_reply,cluster,stratum,intent,should_escalate,escalation_reason
@hulu_support Third week in a row @115940 is not working on my phone https://t.co/yzPJqF7DA5,Third week in a row is not working on my phone,@638922 Sorry to hear this! 😔 Please reach us here: https://t.co/6YdK7bvQN7. We'll dig a bit deeper &amp; further assist from there!,3,natural,,,
@hulu_support I just signed up for a No Commercials Plan BUT when I watch on my Roku it shows commercials &amp; says limited comm. plan! HELP?!,I just signed up for a No Commercials Plan BUT when I watch on my Roku it shows commercials &amp; says limited comm. plan! HELP?!,@346720 Uh oh! Call or chat with us here: https://t.co/6YdK7bvQN7 so we can take a peek at your account &amp; confirm your plan details. 💚,8,natural,,,
"@hulu_support trying to watch the Predators game via Fox Sports Tennessee, channel lineup shows it to be on, but the stream is some other channel showing a basketball game","trying to watch the Predators game via Fox Sports Tennessee, channel lineup shows it to be on, but the stream is some other channel showing a basketball game","@254734 Our sincere apologies for the trouble and our delayed response, Jack! This is something we're looking into with high priority. In the meantime, we'll share your report and experience with the right teams while we work to continually improve our services.",9,rare_boost,,,
@hulu_support  my account still isn't working. 😕😕,my account still isn't working. 😕😕,"@300433 Sorry to hear this, Kyra! What specific trouble are you running into when using our app &amp; on which device? We're here to help.",3,natural,,,
"@hulu_support Do those directions apply to watching it on the computer? I don't see ""My Stuff"" anywhere.","Do those directions apply to watching it on the computer? I don't see ""My Stuff"" anywhere.","@277562 This action should be doable on a device. If there is any trouble on your end, give us a call/chat: https://t.co/6YdK7bvQN7.",3,natural,,,
"@115940 fix your live tv stream for the baseball World Series, I've tried three devices. All of them are looping the same crap over and over!!","fix your live tv stream for the baseball World Series, I've tried three devices. All of them are looping the same crap over and over!!","@702335 So sorry for the trouble, Matthew! Our team is actively investigating issues with live playback and we're working on a fix.",2,rare_boost,,,
Why are the commercials on @115940 SO MUCH LOUDER than the show?,Why are the commercials on SO MUCH LOUDER than the show?,"@355412 That shouldn't be the case, Taylor. Sorry about this! What device are you streaming from? Is it all commercials?",3,natural,,,
"@hulu_support After it did that 6 or 7 times, it came on. Thanks for your help","After it did that 6 or 7 times, it came on. Thanks for your help","@606589 We're happy to hear you're back up and running, Chris! Feel free to follow up with any additional questions.",1,natural,,,
"@hulu_support Will the NLCS game be working tonight or should I expect more errors? This was clearly something on Hulu’s end, not your customers","Will the NLCS game be working tonight or should I expect more errors? This was clearly something on Hulu’s end, not your customers",@240155 We've just checked in for an update—and have confirmed this issue should now be resolved. Please reboot and test things out.,9,natural,,,
"@hulu_support @115940 live is so poor right now. Chopped playback, not holding video quality.","live is so poor right now. Chopped playback, not holding video quality.",@519553 Apologies! We experienced issues with live playback this weekend—this behavior has since been resolved: https://t.co/iwd4qdktMg.,9,natural,,,
@115940 anymore episodes of freakish S2? cause I got to E10 and I’m still very very eager to know what else is going on,anymore episodes of freakish S2? cause I got to E10 and I’m still very very eager to know what else is going on,@754360 Hi there! Only 10 episodes for season 2. No further details to share but we appreciate your support for the show!,3,natural,,,
