customer_msg,reply_k1,judge_k1,reply_k3,judge_k3,reply_k0,judge_k0
@hulu_support Third week in a row @115940 is not working on my phone https://t.co/yzPJqF7DA5,"Oh no, we're sorry to hear that. Have you tried checking our troubleshooting guide here: https://t.co/HXpLyTU79x? It might help resolve the issue.",5,"Oh no! Which device are you having trouble with and what error are you seeing? For now, try: https://t.co/HXpLyTU79x. Any improvement after?",5,"We're sorry to hear you're experiencing playback issues. Many users have reported similar problems, and we're actively working on a solution. Please let us know if you need any assistance in the meantime.",3
@hulu_support I just signed up for a No Commercials Plan BUT when I watch on my Roku it shows commercials &amp; says limited comm. plan! HELP?!,We understand your frustration! Could you please check if you're a Live TV subscriber and what shows are playing commercials on your Roku? This will help us assist you better.,5,"Hey there! No Commercials applies to Hulu library content. Live & on-demand shows will include ads: https://t.co/8wrwlQWDIl. If you're still seeing commercials, are you a Live TV subscriber?",5,We apologize for the inconvenience. It sounds like there might be a discrepancy with your plan. Please let us know your Roku device information so we can investigate further. Thank you for your patience as we look into this.,4
"@hulu_support trying to watch the Predators game via Fox Sports Tennessee, channel lineup shows it to be on, but the stream is some other channel showing a basketball game",We apologize for any inconvenience this may have caused. Our team is currently investigating the issue with Fox Sports Tennessee. Your patience while we look into this is greatly appreciated.,5,"So sorry for the trouble! Our team is investigating this issue. As a workaround, please try logging in and authenticating with your Hulu credentials: https://t.co/qeNe09yc0o. Apologies for any inconvenience this may have caused.",5,We're sorry to hear you're having trouble with your live TV sports stream. It sounds like there might be a mismatch between the channel lineup and the actual broadcast. Could you please check if the issue persists or provide more details so we can assist further?,4
@hulu_support  my account still isn't working. 😕😕,"Yo! No worries, let's sort this out! 👍🏽 Chat with us: https://t.co/6YdK7bvQN7 to help us figure it out together.",5,"Ah, sorry to hear that. Let's get this sorted! Please chat with us: https://t.co/6YdK7bvQN7 so we can help gather more info.",5,"I'm sorry to hear you're having trouble accessing your account. Could you please check your login details and ensure you're using the correct email address and password? If the issue persists, let me know and we can explore further steps together.",5
"@hulu_support Do those directions apply to watching it on the computer? I don't see ""My Stuff"" anywhere.",Hi! My Stuff is currently only available on certain devices as listed here: https://t.co/S7I5SNUS3g. Could you let us know which browser or device you're using so we can better assist you?,5,Hi there! My Stuff is currently only available on supported devices. You can find a list of supported devices here: https://t.co/S7I5SNUS3g. Keep an eye on our site for updates!,5,"Yes, the directions should apply to watching on your computer as well. 'My Stuff' might be located in a different section or could be collapsed. Please check your homepage or try looking under 'Library' for your watched content.",4
"@115940 fix your live tv stream for the baseball World Series, I've tried three devices. All of them are looping the same crap over and over!!",Sorry to hear about the issue with the live TV stream for the World Series! Have you tried checking this link for troubleshooting tips: https://t.co/HXpLyTU79x?,5,We apologize for the issues you're experiencing with the live TV stream for the World Series. Has the problem occurred on multiple devices? Please try checking your connection and see if this helps: https://t.co/HXpLyTU79x.,5,We apologize for the issues you're experiencing with the live TV stream during the baseball World Series. We're looking into this and will reach out if we need more information from you. Thanks for your patience as we work to resolve this.,4
Why are the commercials on @115940 SO MUCH LOUDER than the show?,Sorry for any trouble! What device are you using and what shows are you watching when you notice this loudness difference?,5,Ads should match the volume of the show. What device are you using? Which brand of ads are loud and during what show?,5,"We understand that the volume of commercials can be disruptive. Please check your device settings to ensure the overall volume is not turned up too high. If the issue persists, you can try adjusting the individual app volume or contact us with more details so we can assist further.",4
"@hulu_support After it did that 6 or 7 times, it came on. Thanks for your help","We're glad that helped! If it happens again, please let us know so we can assist you further.",5,"We're glad that helped! If you run into any other issues, feel free to reach out. 🙌",5,"We're glad to hear that you were able to get your show back playing. If you have any more issues or questions, feel free to reach out!",5
"@hulu_support Will the NLCS game be working tonight or should I expect more errors? This was clearly something on Hulu’s end, not your customers","Thanks for bringing this to our attention. Availability of live games can vary by ZIP Code: https://t.co/rjjbP5u0Fj, https://t.co/HLMJczp8WD. We appreciate your patience and understanding.",5,"We are currently investigating, and our sincere apologies for the issues! These might help for now: https://t.co/HiTFsfb2rK.",5,We're sorry to hear you're experiencing issues with the NLCS game. We're working to resolve any technical problems and appreciate your patience. Please let us know if you need further assistance.,4
"@hulu_support @115940 live is so poor right now. Chopped playback, not holding video quality.",Sorry to hear that live playback is choppy. Could you please check your device and modem? Sometimes a quick reboot can help improve the video quality.,5,Sorry to hear about the playback issues. Have you tried rebooting your device and modem? Any specific channels experiencing problems?,5,"We're sorry to hear about the poor live playback quality. We're working to improve it and appreciate your patience. If the issue persists, please let us know so we can assist further.",4
@115940 anymore episodes of freakish S2? cause I got to E10 and I’m still very very eager to know what else is going on,Thanks for supporting the show! We don't have any details about additional episodes of Freakish. We'll share your interest!,5,Thanks for supporting the show! We don't have any details about additional episodes of Freakish. We'll share your interest!,5,"We appreciate your enthusiasm for 'Freakish' Season 2! Currently, we don't have any additional episodes beyond Episode 10. We recommend checking back regularly for updates on new content.",4
@115940 HuluTV outage during the World Series......y'all are killing me,"That's frustrating, especially during a big game. If you're experiencing an outage, could you please let us know the device you're using so we can look into it further?",5,"Sorry for the trouble! Sounds like you were affected by: https://t.co/yFIjpPTfM5. We're happy to report this was quickly resolved. If the issue persists, please try closing our app and relaunching it.",5,We're sorry to hear about the issues you're experiencing with Hulu Live TV during the World Series. We're working to resolve any outages as quickly as possible. Thank you for your patience.,4
@115940 can't watch anything. What's up? 🤷🏾‍♂️,Apologies! Can you let us know which device you’re using and if there are any errors? This will help us assist you better!,5,Oh no! What sort of trouble are you running into? Any error messages? What device are you using? Try: https://t.co/HXpLyTCvKX.,5,"We're sorry to hear you're having trouble watching your shows. It looks like you might be experiencing a playback issue. Could you please check your internet connection and try restarting your device? If the problem persists, let us know and we'll do our best to assist you further.",4
@hulu_support I don’t know why it would be on demand. My zip is 49525. Wouldn’t be a blackout issue.,We understand your concern. ABC may make the content available on-demand after it airs. We'll share your interest in seeing it live in your area. Thank you for your patience.,5,"We understand your frustration. We'll share your interest in seeing NBC live in your area, 49525. Thank you for your patience.",4,"Thank you for reaching out. We're here to help! It sounds like you might be experiencing an issue with content availability in your area. Could you please check if the show or movie you're looking for is listed under 'Up Next' or 'Recommended' sections? If the issue persists, feel free to provide more details so we can assist further.",4
"@hulu_support idk why im signed out on my wii, it wont let me sign in or give me an activ. code, im signed in online but cant get to my acct","Apologies! At this time, Wii consoles are not supported. We're sorry for any disappointment this may cause.",5,Sorry to hear about the issues signing in! 😔 Please try calling the number in blue: https://t.co/eJgyvCWdBS. We'll help you get sorted out!,5,"We're sorry to hear you're experiencing issues signing in on your Wii. It sounds like there might be a local account issue. Could you try signing out and signing back in, or resetting your Wii Remote batteries? If the problem persists, please let us know, and we'll do our best to assist you further.",4
@hulu_support @115940 Update sucks and now we can't even watch! Listen to your customer feedback https://t.co/TLSfb1QDrs,Sorry to hear about the playback issues! We're here to help. Could you please let us know the specific behavior you're experiencing along with your device details? We can assist you via Twitter.,5,"We're sorry to hear about the playback issues! Have you tried checking your device settings for any updates or importing your watchlist? If that doesn't help, please let us know the specific problem so we can assist further.",5,We're sorry to hear you're having trouble with playback. Thank you for sharing your feedback with us. We're looking into this issue and will work to resolve it as soon as possible.,4
@115940 Why do I always have to tell you I'm the one watching? I only have 1 profile. Please let me skip this step.,Thanks for letting us know! We appreciate your feedback and will make sure to pass it along. Stay tuned for any updates!,5,"Thanks for sharing! We understand this can be an extra step, and we'll make sure to pass your feedback along. Stay tuned for updates!",5,"We understand that entering your profile information can be a bit cumbersome. We're constantly working to improve the experience, and your feedback is valuable to us. Thank you for letting us know!",4
@hulu_support Hulu Live has been unwatchable for more than 24 hrs. Want an explanation. Next will ask for a credit. Constant buffering/ no video playback,"Sorry to hear that Hulu Live playback has been unwatchable for more than 24 hours. Could you please check your device and modem, and let us know which channel is affected?",5,"Sorry to hear about the ongoing issues with live playback. Please try rebooting your device and modem. If the problem persists, feel free to reach out to our support team at https://t.co/6YdK7bvQN7 for further assistance!",5,We apologize for the playback issues you've experienced with Hulu Live. We're looking into the cause and will reach out if we need more information from you. Thank you for your patience.,5
My god @115940 your live stream of the SEC Championship game is atrocious. Spent more time looking at the buffering screen but o0o0o0 the commercials show perfectly....#irritated,We're sorry to hear about the buffering issues during the SEC Championship live stream. Our team is investigating: https://t.co/NRy8VAcsLp. Thank you for your patience!,5,"Our apologies for the buffering issues, folks. Our team is investigating: https://t.co/NRy8VAcsLp. We appreciate your patience during this time!",5,"We're sorry to hear about your experience with the SEC Championship live stream. We understand how frustrating buffering can be, and we appreciate you pointing out that the commercials played without issue. We'll look into this and work to improve our service.",5
Bro why tf Hulu wont work on my ipad🙄,"Oh no! Perhaps we can help out. What specific trouble are you having? If it's tech related, which device are you using?",5,Oh no! Let's get that fixed. What device are you using? Can you walk us through what happens when you try to watch Hulu? 🙏,5,"We're sorry to hear you're having trouble with Hulu on your iPad. Could you please check if you have the latest app update installed and ensure your device is connected to the internet? If the issue persists, feel free to provide more details so we can assist further.",5
@hulu_support the last 2 days we’ve had buffering on #Futureman episode 2 via PS4 app in Seattle. WA. We haven’t been able to finish. Thanks for looking into it!,"Got it! Future Man launched last night with all 13 episodes available: https://t.co/fxDLkrGCTA. We’re looking into the buffering issue you’re experiencing with the PS4 app in Seattle, WA. Thanks for letting us know!",5,"We're sorry to hear about the buffering issues with Future Man. Try powering down your PS4 for 1-2 minutes and see if the episodes load after that. If you continue to experience problems, feel free to reach out for further assistance: https://t.co/6YdK7bvQN7. Thanks for your patience!",5,We're sorry to hear about the buffering issues you've been experiencing with #Futureman episode 2 on your PS4 app. We're looking into this and will reach out if we need any additional information from you. Thanks for your patience.,5
@115940 @hulu_support all I want to do is watch last nights greys anatomy and it keeps freezing every 5 seconds. WTF. ps my WiFi is fine,"Sorry to hear about the freezing issue, we're always working to improve. We'll be sure to share your experience.",5,Oh no! Let's try to get this sorted. What device are you using? Is all content affected? Try powering off your device and modem/router for 2 mins.,5,We're sorry to hear you're experiencing playback issues with Grey's Anatomy. Could you please check if the problem persists with a different show or while using a different device? This will help us diagnose the issue.,4
@115940 @hulu_support  Please Add all season(s) of 'Who's Line is it Anyway?'  As well as the Sitcom 'According to Jim',We currently do not have any episodes of 'Who's Line is it Anyway?' or 'According to Jim'. We recommend checking back for future updates!,5,"We're working with the content providers to bring you more episodes of Who's Line is it Anyway? and According to Jim. Currently, we can offer select episodes of Who's Line is it Anyway? and you can check back for updates on According to Jim.",4,We appreciate your feedback! We'll consider adding 'Who's Line is it Anyway?' and 'According to Jim' for our growing library. Thank you for suggesting these shows!,4
"Dear @115940, please fix the order of #DawsonsCreek episodes in season 2. “Psychic Friends” is not the second episode. 😡",We appreciate you bringing this to our attention. We've noted the details and will pass this along to our team for review.,5,We appreciate you bringing this to our attention. We've noted the issue with season 2 of Dawson's Creek and will pass this along to our team for review. Please check back or add it to your Watchlist for updates!,5,We appreciate your feedback regarding the episode order in season 2 of Dawson's Creek. We'll look into this and work to correct it as soon as possible. Thank you for bringing this to our attention.,5
Handmaid's Tale season 2 when @115940 @hulu_support,"We understand the anticipation for Season 2 of The Handmaid's Tale! No specific date to share yet, but you can look forward to it in 2018.",5,"Praise be! No date to share just yet, but you can expect S2 in 2018. Stay-tuned!",5,"We appreciate your interest in Handmaid's Tale season 2. Currently, it's available on Hulu. Enjoy the show!",2
