customer_msg,source,reply,judge_score,human_score
Not sure who it is but 1 of you suck @115940 @88064,nearest,"Apologies for the frustration, Taylor! We'd love to help turn things around. Let us know more details about the issue at hand.",5,2.0
@hulu_support I need to sync my account with my Spotify student account. Can’t figure this out online!,trivial,Sorry for the trouble! Please reach out so we can look into this for you.,3,2.0
@hulu_support it is a roku TV actually,agent,This sounds like something we're looking into. Please try: https://t.co/wAoEicy9CF. If no change ➡️ https://t.co/6YdK7bvQN7. ✅,5,3.0
"Can y'all put little nicky on hulu please.
@hulu_support",agent,"We can't make any promises, but we'd be happy to share your request. We're always looking to add great content/networks! You're welcome! We'll keep our fingers crossed. For any future updates, check out: https://t.co/r9MCqHxrfq for new content! ✅",5,4.0
@hulu_support why is my hulu account not working on any device ?! 😫😫😫😫😫,nearest,Yo! Not sure why but we'll figure it out! 👍🏽  Chat w/ us: https://t.co/6YdK7bvQN7 so we can gather more info from you.,5,4.0
@hulu_support it is a roku TV actually,nearest,This sounds like something we're looking into. Please try: https://t.co/wAoEicy9CF. If no change ➡️  https://t.co/6YdK7bvQN7.,5,3.0
Not sure who it is but 1 of you suck @115940 @88064,trivial,Sorry for the trouble! Please reach out so we can look into this for you.,5,2.0
@hulu_support why is my hulu account not working on any device ?! 😫😫😫😫😫,agent,Yo! Not sure why but we'll figure it out! 👍🏽 Chat w/ us: https://t.co/6YdK7bvQN7 so we can gather more info from you.,5,4.0
@hulu_support Hi I forgot to put my account on hold and was charged for this month. If I cancel my account can I possibly be refunded?,nearest,Hi! We're happy to take a look at what happened. Please reach out here: https://t.co/6YdK7bvQN7 so we can investigate.,5,4.0
@hulu_support I need to sync my account with my Spotify student account. Can’t figure this out online!,agent,"Sure thing! These steps often help: https://t.co/eLkTYA6geI. If you need further assistance, we're here to help: https://t.co/6YdK7bvQN7.",5,4.0
"@hulu_support wtf? Was just watching 30 for 30 ric flair, paused it to go outside, now not available????? Have it added to my stuff to record and it's not playing!!! Ruining my bday drinking game!!!!",trivial,Sorry for the trouble! Please reach out so we can look into this for you.,3,2.0
Not sure who it is but 1 of you suck @115940 @88064,agent,We're sorry for any frustration! Could you let us know more about what's not working as expected? We'd love to help.,5,3.0
"Can y'all put little nicky on hulu please.
@hulu_support",nearest,"We can't make any promises, but we'd be happy to share your request. We're always looking to add great content/networks!",5,5.0
"@hulu_support wtf? Was just watching 30 for 30 ric flair, paused it to go outside, now not available????? Have it added to my stuff to record and it's not playing!!! Ruining my bday drinking game!!!!",nearest,"Apologies! Is this happening on an iOS device? If so, any change after working through: https://t.co/C3IOhQGizS?",5,3.0
"Can y'all put little nicky on hulu please.
@hulu_support",trivial,Sorry for the trouble! Please reach out so we can look into this for you.,5,2.0
@hulu_support why is my hulu account not working on any device ?! 😫😫😫😫😫,trivial,Sorry for the trouble! Please reach out so we can look into this for you.,4,2.0
@hulu_support I need to sync my account with my Spotify student account. Can’t figure this out online!,nearest,"We'd love to help, Sara! Please reach out via chat here: https://t.co/6YdK7bvQN7 with the email address and ZIP on file.",5,5.0
"@hulu_support wtf? Was just watching 30 for 30 ric flair, paused it to go outside, now not available????? Have it added to my stuff to record and it's not playing!!! Ruining my bday drinking game!!!!",agent,"That shouldn't be happening! Please try pausing and resuming the playback or rebooting your device. If that doesn't work, let us know via phone/chat: https://t.co/6YdK7bvQN7.",5,5.0
@hulu_support it is a roku TV actually,trivial,Sorry for the trouble! Please reach out so we can look into this for you.,3,2.0
@hulu_support Hi I forgot to put my account on hold and was charged for this month. If I cancel my account can I possibly be refunded?,agent,Hi! We're here to help. Please contact us here: https://t.co/6YdK7bvQN7 so we can look into your billing issue. 😊,5,4.0
@hulu_support Hi I forgot to put my account on hold and was charged for this month. If I cancel my account can I possibly be refunded?,trivial,Sorry for the trouble! Please reach out so we can look into this for you.,5,2.0
